운용사,유동성공급자(LP),종목명,기초지수명,순자산규모(억원),최초설정일,상장일
유리에셋,"유진증권, 리딩투자",TREX 펀더멘탈 200,FnGuide-RAFI 코리아200 지수,"71","2011/09/22","2011/09/23"
삼성자산운용,"교보증권, 씨엘, 신한투자, 한국증권, 미래에셋대우, 유진증권, 메리츠, NH투자증권, KB증권, SK증권, 삼성증권, 하이증권, 키움증권, 리딩투자, BNK증권, IBK증권, 유안타증권, 이베스트, 하나금융투자, 대신증권, 한화투자, DB금투",KODEX 200,코스피 200,"59,322","2002/10/11","2002/10/14"
키움투자자산운용,"키움증권, 대신증권, 신한투자, 한국증권, 유진증권, 메리츠, NH투자증권, KB증권, SK증권, BNK증권, IBK증권, 미래에셋대우, DB금투, 하이증권, 리딩투자, 하나금융투자, 이베스트",KOSEF 200,코스피 200,"6,974","2002/10/11","2002/10/14"
케이비자산운용,"SK증권, 삼성증권, 미래에셋대우, 유진증권, NH투자증권, DB금투, 하이증권, 신한투자, 키움증권, 하나금융투자, BNK증권, IBK증권, 교보증권, KB증권, 대신증권, 이베스트, 한화투자, 유안타증권, 한국증권, 메리츠",KBSTAR 200,코스피 200,"11,335","2011/10/19","2011/10/20"
키움투자자산운용,"메리츠, 키움증권, 한국증권, 미래에셋대우, IBK증권",KOSEF 국고채10년,KIS 10년 국고채 지수 (총수익),"695","2011/10/19","2011/10/20"
미래에셋자산운용,"유진증권, 미래에셋대우, NH투자증권, KB증권, 메리츠",TIGER 모멘텀,FnGuide 모멘텀 지수,"259","2011/10/25","2011/10/26"
미래에셋자산운용,"미래에셋대우, NH투자증권, DB금투, 메리츠, 하나금융투자, 이베스트, KB증권, 유안타증권, 키움증권",TIGER 중국소비테마,FnGuide 중국내수테마 지수,"2,107","2011/12/15","2011/12/16"
한화자산운용,"한국증권, 미래에셋대우, 유진증권, 메리츠, NH투자증권, KB증권, 한화투자, 유안타증권, SK증권, 삼성증권, 하이증권, 리딩투자, 이베스트",ARIRANG 200,코스피 200,"8,138","2012/01/09","2012/01/10"
키움투자자산운용,"미래에셋대우, NH투자증권, DB금투",KOSEF 200 선물,코스피 200 선물지수,"170","2012/01/12","2012/01/13"
삼성자산운용,"키움증권, 미래에셋대우, 메리츠, 삼성증권",KODEX 국채선물10년,10년국채선물지수,"90","2012/01/19","2012/01/20"
한국투자신탁운용,"이베스트, 한국증권, 대신증권, 미래에셋대우, NH투자증권, KB증권, 하이증권, 하나금융투자",KINDEX 레버리지,코스피 200,"134","2012/01/25","2012/01/27"
교보악사자산운용,"대신증권, 미래에셋대우, 유진증권, 메리츠, NH투자증권, KB증권, DB금투, 하이증권, 리딩투자, 신한투자",파워 200,코스피 200,"1,366","2012/02/10","2012/02/13"
삼성자산운용,"유안타증권, 키움증권, 한국증권, 미래에셋대우, 메리츠, 삼성증권",KODEX 단기채권,KRW Cash 지수(총수익),"13,284","2012/02/21","2012/02/22"
키움투자자산운용,"하이증권, 키움증권, NH투자증권",KOSEF 코스피100,코스피 100,"80","2012/02/27","2012/02/28"
삼성자산운용,"삼성증권, NH투자증권, 신한투자, 미래에셋대우, 하이증권, 메리츠",KODEX MSCI Korea,MSCI Korea Index,"882","2012/04/27","2012/04/30"
미래에셋자산운용,"미래에셋대우, NH투자증권, 키움증권, 메리츠, KB증권, 유안타증권",TIGER 증권,FnGuide 증권 지수,"84","2012/05/15","2012/05/16"
미래에셋자산운용,"미래에셋대우, 하이증권, NH투자증권, 메리츠, KB증권",TIGER 소프트웨어,FnGuide 소프트웨어 지수,"283","2012/05/15","2012/05/16"
미래에셋자산운용,"한국증권, 미래에셋대우, 메리츠, KB증권, 키움증권",TIGER 단기통안채,KIS 통안채 3개월(총수익),"8,584","2012/05/15","2012/05/16"
디비자산운용,"미래에셋대우, 유진증권, KB증권, DB금투, 리딩투자",마이티 코스피100,코스피 100,"84","2012/07/04","2012/07/05"
한화자산운용,"한국증권, 대신증권, 미래에셋대우, 유진증권, 메리츠, NH투자증권, KB증권, 한화투자, 유안타증권, DB금투, 하이증권",ARIRANG 고배당주,FnGuide 배당주 지수,"3,786","2012/08/28","2012/08/29"
미래에셋자산운용,"미래에셋대우, NH투자증권, 리딩투자",TIGER 200커버드콜5%OTM,코스피 200 커버드콜 5% OTM,"85","2012/10/24","2012/10/25"
키움투자자산운용,"미래에셋대우, IBK증권, 메리츠, 키움증권",KOSEF 국고채10년레버리지,KIS 10년 국고채 지수 (총수익),"141","2012/10/29","2012/10/30"
하나UBS자산운용,"미래에셋대우, KB증권",KTOP 코스피50,코스피 50,"206","2012/11/09","2012/11/12"
한국투자신탁운용,"한국증권, 미래에셋대우, NH투자증권, KB증권, 대신증권",KINDEX 중국본토CSI300,CSI 300 Index,"2,114","2012/11/21","2012/11/29"
미래에셋자산운용,"미래에셋대우, 한국증권, 대신증권",TIGER 구리실물,S&P GSCI Cash Copper Index,"82","2012/12/14","2012/12/17"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권",TIGER 베타플러스,FnGuide 베타플러스 지수,"155","2013/01/16","2013/01/17"
