ETF Name,Code,Quote,Trailing Return,Growth 10000,Risk,Asset Allocations,Sectors,StockStyle,Sustainability,Holdings
TIGER_MSCI_Korea_Total_Return,310970,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_NASDAQ100,133690,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_NASDAQ_BIO,203780,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_NIKKEI225,241180,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Physical_Copper,160580,20190816,20190814,20190814,20190731,20190430,20190430,20190430,NA,20190430
TIGER_Preferred_Stock,261140,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_Quality_Value,227570,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Real_Estate_Infra_High_Dividend,329200,20190816,20190814,20190814,NA,20190731,NA,NA,NA,NA
TIGER_S&P500,143850,20190816,20190814,20190814,20190731,20190430,20190430,20190430,NA,20190430
TIGER_S&P500_Inverse(H),225030,20190816,20190814,20190814,20190731,20190430,20190430,20190430,NA,20190430
TIGER_Samsung_Group,138520,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Secondary_Cell,305540,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_Securities,157500,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Semicon_ETF,091230,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Software,157490,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Staples,139280,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_Sustainable_Dividend,266140,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_Synth-China_A_Inverse,217780,20190816,20190814,20190814,20190731,20190630,20190630,20190630,NA,20190630
TIGER_Synth-China_A_Leverage,204480,20190816,20190814,20190814,20190731,20190731,NA,NA,NA,NA
TIGER_Synth-Emerging_Market_Leverage(H),225060,20190816,20190814,20190814,20190731,20190731,20190731,20190731,NA,20190731
TIGER_Synth-EURO_STOXX_50(H),195930,20190816,20190814,20190814,20190731,20190731,20190731,20190731,NA,20190731
TIGER_Synth-EURO_STOXX_50_Leverage(H),225050,20190816,20190814,20190814,20190731,20190731,20190731,20190731,NA,20190731
TIGER_Synth-Global_Healthcare,248270,20190816,20190814,20190814,20190731,20190630,20190630,20190630,NA,20190630
TIGER_Synth-HY(H),182490,20190816,20190814,20190814,20190731,20190630,20190630,20190630,NA,20190630
TIGER_Synth-India_Leverage,236350,20190816,20190814,20190814,20190731,20190630,20190630,20190630,NA,20190630
TIGER_Synth-Japan(H),195920,20190816,20190814,20190814,20190731,20140430,20140430,20140430,NA,20140430
TIGER_Synth-Japan_Healthcare,248260,20190816,20190814,20190814,20190731,20190630,20190630,20190630,NA,20190630
TIGER_Synth-MSCI_US_REIT(H),182480,20190816,20190814,20190814,20190731,20190731,20190731,20190731,NA,20190731
TIGER_Synth-S&P500_Leverage(H),225040,20190816,20190814,20190814,20190731,20190630,20190630,20190630,NA,20190630
TIGER_Synth-S&P_Global_Infrastructure,269370,20190816,20190814,20190814,NA,20190630,20190630,20190630,NA,20190630
TIGER_Taiwan_TAIEX(H),253990,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
TIGER_Top10_ETF,292150,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
TIGER_Tour_Leisure,228800,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TIGER_USD_Futures_Inverse2X,261120,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
TIGER_USD_Futures_Leverage,261110,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
TIGER_USD_Money_Market_Active,329750,20190816,20190814,20190814,NA,20190731,NA,NA,NA,NA
TIGER_WTI_Futures,130680,20190816,20190814,20190814,20190731,20190430,20190430,20190430,NA,20190430
TIGER_WTI_Inverse(H),217770,20190816,20190814,20190814,20190731,20190430,20190430,20190430,NA,20190430
TREX_200,108590,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TREX_Fundamental_200,145850,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
TREX_MSVALUE,097750,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
